CMDLINE /usr/bin/python3 DQfDTest.py
MEM 1.324219 1523272035.4580
MEM 22.011719 1523272035.5585
MEM 36.730469 1523272035.6589
MEM 50.078125 1523272035.7593
MEM 129.718750 1523272035.8598
MEM 135.976562 1523272035.9601
MEM 145.917969 1523272036.0606
MEM 154.921875 1523272036.1610
MEM 167.011719 1523272036.2612
MEM 183.476562 1523272036.3616
MEM 193.464844 1523272036.4620
MEM 201.789062 1523272036.5624
MEM 201.984375 1523272036.6628
MEM 202.191406 1523272036.7633
MEM 202.191406 1523272036.8637
MEM 202.191406 1523272036.9642
MEM 202.191406 1523272037.0646
MEM 202.191406 1523272037.1651
MEM 202.191406 1523272037.2654
MEM 202.191406 1523272037.3658
MEM 202.191406 1523272037.4661
MEM 202.191406 1523272037.5664
MEM 202.191406 1523272037.6667
MEM 202.191406 1523272037.7670
MEM 202.191406 1523272037.8674
MEM 202.191406 1523272037.9679
MEM 202.191406 1523272038.0683
MEM 202.281250 1523272038.1686
MEM 202.281250 1523272038.2689
MEM 207.585938 1523272038.3693
MEM 217.746094 1523272038.4698
MEM 228.519531 1523272038.5703
MEM 233.902344 1523272038.6707
MEM 273.011719 1523272038.7711
MEM 365.023438 1523272038.8715
MEM 539.210938 1523272038.9719
MEM 689.371094 1523272039.0723
MEM 695.578125 1523272039.1727
MEM 702.617188 1523272039.2731
MEM 702.617188 1523272039.3736
MEM 705.687500 1523272039.4741
MEM 707.304688 1523272039.5744
MEM 708.785156 1523272039.6747
MEM 710.273438 1523272039.7750
MEM 711.632812 1523272039.8753
MEM 713.500000 1523272039.9758
MEM 715.593750 1523272040.0762
MEM 717.355469 1523272040.1766
MEM 719.476562 1523272040.2770
MEM 720.273438 1523272040.3775
MEM 722.402344 1523272040.4780
MEM 723.949219 1523272040.5786
MEM 726.136719 1523272040.6789
MEM 728.484375 1523272040.7793
MEM 730.460938 1523272040.8797
MEM 732.523438 1523272040.9801
MEM 734.449219 1523272041.0804
MEM 736.578125 1523272041.1809
MEM 738.433594 1523272041.2813
MEM 740.496094 1523272041.3817
MEM 742.437500 1523272041.4821
MEM 743.207031 1523272041.5825
MEM 745.343750 1523272041.6830
MEM 747.171875 1523272041.7834
MEM 749.312500 1523272041.8839
MEM 751.195312 1523272041.9842
MEM 753.894531 1523272042.0847
MEM 755.699219 1523272042.1851
MEM 757.437500 1523272042.2854
MEM 759.238281 1523272042.3857
MEM 760.523438 1523272042.4862
MEM 762.234375 1523272042.5866
MEM 763.816406 1523272042.6870
MEM 764.328125 1523272042.7873
MEM 765.667969 1523272042.8877
MEM 767.300781 1523272042.9882
MEM 769.105469 1523272043.0887
MEM 770.789062 1523272043.1890
MEM 772.582031 1523272043.2894
MEM 774.285156 1523272043.3898
MEM 775.863281 1523272043.4901
MEM 777.667969 1523272043.5905
MEM 778.957031 1523272043.6910
MEM 780.453125 1523272043.7914
MEM 782.285156 1523272043.8918
MEM 783.925781 1523272043.9922
MEM 785.312500 1523272044.0925
MEM 786.437500 1523272044.1930
MEM 787.363281 1523272044.2935
MEM 788.863281 1523272044.3939
MEM 791.023438 1523272044.4943
MEM 792.804688 1523272044.5948
MEM 794.234375 1523272044.6952
MEM 795.875000 1523272044.7957
MEM 797.468750 1523272044.8960
MEM 798.847656 1523272044.9964
MEM 802.085938 1523272045.0968
MEM 803.113281 1523272045.1970
